239,X,,,27.10.2015,"","AH, CS, HCR","Webfonts Best Practices und FLIF",
238,X,,,18.10.2015,"Martin Schuhfuss","CS, SB","Creative Coding, Sass Eyeglass und AMP",
237,X,,,17.10.2015,"","CS, HCR, SB","Remote Work und Informationsnachschub",
236,X,,,6.10.2015,"","AH, HCR, PK, SB","CSS Round Display Spec und Open Source Projekte",
235,X,,,3.10.2015,"Philipp Tarasiewicz","CS, HCR, PK","Houdini, Go Lang und Angular 2",
234,X,,,20.09.2015,"","AH, SB","Probleme mit Feature-Detection und Vererbung in CSS",
233,X,,,01.09.2015,"","AH, SB","CSS Layout Techniken",
232,X,,,13.09.2015,"","HCR, PK","Progressive Apps",
231,X,,,01.09.2015,"Manuel Schoebel, Stephan Hochhaus","CS, HCR, PK, SB","Meteor, CSS in JS, dreiste Eigenwerbung",
230,X,,,31.08.2015,"","AH, CS, HCR, PK, SB","CSS input modality und die Unzufriedenheit mit der Gesamtsituation",
229,X,,,11.08.2015,"","CS, PK, SB","Stop pushing the web forward",
228,X,,,06.08.2015,"Anna Müller, David Hasenbeck","AH, RR","Wie Sipgate arbeitet",
227,X,,,30.07.2015,"","AH, HCR, PK","Ask Anselm Anything und Underscore",
226,X,,,22.07.2015,"","CS, HCR, RR","Progressive Enhancement",
225,X,,,21.07.2015,"","AH, PK, RR, SB","Web Components und Web Assembly",
224,X,,,19.06.2015,"Lisa Gringl","AH, CS, SB","Design meets Code",
223,X,,,27.06.2015,"","CS, PK, RR, SB","Safari 9, Web Components und A11Y tools",
222,X,,,19.06.2015,"","AH, HCR, PK","Is React really fast und Dependency Updates",
221,X,,,25.05.2015,"","CS, HCR, SB","Pattern libraries, Styleguides und PatternLab",
220,X,,,25.05.2015,"","AH, CS","Tools are [not] the Problem",
219,X,,,24.05.2015,"Sara Soueidan","AH, HCR, RR, SB","Interview mit Sara Soueidan",
218,X,,,23.05.2015,"","HCR, PK, RR, SB","ECMAScript 6",
217,X,,,04.05.2015,"","AH, CS, HCR, PK","Offline First und Links",
216,X,,,01.05.2015,"","CS, PK, SB","Working Draft considered harmful",
215,X,,,25.04.2015,"","CS, HCR, RR, SB","Einheitsbrei",
214,X,,,08.04.2015,"","AH, HCR, PK, SB","Fetch, Zentralisierung, Links",
213,X,,,30.03.2015,"","AH, CS, RR, SB","React is a Good Idea!",
212,X,,,21.03.2015,"","HCR, PK, SB","HTML5 (Retro | Per)spektive",
211,X,,,08.03.2015,"Jacob Rossi","AH, CS, HCR, SB","Project Spartan with Jacob Rossi",
210,X,,,05.03.2015,"","AH, HCR, PK, RR","Webfonts und JavaScript-Module",
209,X,,,24.02.2015,"","AH, SB","Geschwindigkeitsrausch",
208,X,,,22.02.2015,"","AH, HCR, PK, SB","JavaScript Dialekte",
207,X,,,09.02.2015,"Michael Kühnel","CS, HCR, PK, SB","6to5, Yeoman, Links",
206,X,,,03.02.2015,"Christian Heilmann","AH, CS, RR","ES6 Template Strings, Jobwechsel, Spartan",
205,X,,,31.01.2015,"","AH, KL, SB","Perceived Performance, Ampersand.js",
204,X,,,22.01.2015,"","HCR, PK, RR, SB","Fokus, Build-Tools, Links",
203,X,,,10.01.2015,"Pascal Precht","CS, HCR, PK, SB","AngularJS x.x",
202,X,,,29.12.2014,"Mario Heiderich","CS, PK, SB","Sicherheitslücken – DOM Clobbering, XSS via CSS, ES6 Fallen",
201,X,,,22.12.2014,"","PK, SB","Offline-Apps und Links",
200,X,,,14.12.2014,"Jeremy Keith","AH, CS, SB","The Indie Web",
199,X,,,13.12.2014,"","AH, CS, HCR, PK","Simplifizierung und Code-Refactoring Methodik",
198,X,,,07.12.2014,"Sven Wolfermann","AH, HCR, PK, RR","Workflow, Fokus, Shapes",
197,X,,,23.11.2014,"","CS, PK","Responsive Images, IE 12 und Links",
196,X,,,17.11.2014,"Tim Kadlec","AH, CS, HCR","Interview mit Tim Kadlec",
195,X,,,11.11.2014,"Tim Taubert","PK, SB","Web Crypto API und Firefox Developer Edition",
194,X,,,09.11.2014,"","CS, HCR, PK","Kompression und Links",
193,X,,,08.11.2014,"Eric Zieger","PK","Rückschau border:none",
192,X,,,26.10.2014,"","AH, HCR","Komplizierte Job-Titel und Webfonts-Performance",
